sentence_id,pos,neg,neut
100464,0.0,0.499,0.501
13530,0.828,0.0,0.172
110562,0.0,0.0,1.0
39529,0.0,0.0,1.0
151609,0.0,0.0,1.0
129248,0.571,0.0,0.429
38136,0.574,0.0,0.426
84783,0.0,0.0,1.0
168601,0.853,0.0,0.147
159099,0.0,0.0,1.0
53152,0.403,0.0,0.597
135612,0.0,0.0,1.0
165240,0.42,0.0,0.58
71844,0.0,0.0,1.0
173613,0.0,0.0,1.0
122642,0.0,0.0,1.0
148103,0.448,0.0,0.552
99041,0.653,0.0,0.347
102893,0.0,0.315,0.685
170750,0.0,0.0,1.0
172716,0.0,0.0,1.0
140505,0.0,0.0,1.0
79578,0.0,0.0,1.0
116244,0.0,0.0,1.0
144288,0.276,0.0,0.724
139197,0.0,0.0,1.0
160449,0.293,0.0,0.707
110959,0.0,0.0,1.0
71395,0.761,0.0,0.239
171993,0.0,0.231,0.769
111792,0.0,0.0,1.0
58520,0.363,0.0,0.637
69349,0.0,0.0,1.0
13488,0.0,0.462,0.538
20537,0.0,0.0,1.0
123790,0.0,0.0,1.0
94338,0.0,0.0,1.0
56616,0.0,0.0,1.0
28346,0.574,0.0,0.426
128285,0.093,0.234,0.673
102032,0.241,0.0,0.759
52179,0.0,0.0,1.0
105652,0.0,0.0,1.0
130284,0.744,0.0,0.256
43932,0.393,0.0,0.607
81230,0.0,0.0,1.0
153310,0.6,0.0,0.4
121987,0.0,0.0,1.0
95839,0.264,0.0,0.736
59688,0.4,0.118,0.482
31442,0.0,0.0,1.0
146914,0.583,0.0,0.417
61217,0.615,0.0,0.385
143191,0.749,0.0,0.251
43167,0.0,0.0,1.0
151363,0.0,0.0,1.0
47830,0.0,0.0,1.0
105512,0.0,0.0,1.0
100077,0.0,0.161,0.839
78173,0.0,0.0,1.0
81853,0.0,0.0,1.0
43886,0.0,0.163,0.837
105260,1.0,0.0,0.0
150985,0.169,0.127,0.704
173499,0.0,0.395,0.605
136180,0.151,0.092,0.757
72780,0.895,0.0,0.105
57936,0.405,0.0,0.595
24058,0.0,0.283,0.717
35967,0.0,0.0,1.0
66457,0.304,0.0,0.696
88243,0.157,0.0,0.843
164480,0.169,0.0,0.831
40283,0.0,0.0,1.0
169515,0.0,0.0,1.0
25450,0.245,0.0,0.755
59245,0.0,0.134,0.866
70698,0.143,0.143,0.714
173112,0.0,0.0,1.0
147065,0.0,0.0,1.0
88025,0.744,0.0,0.256
70936,0.0,0.423,0.577
91182,0.623,0.0,0.377
129643,0.0,0.0,1.0
159764,0.0,0.0,1.0
160696,0.818,0.0,0.182
93268,0.286,0.039,0.674
55052,0.0,0.0,1.0
71141,0.374,0.175,0.451
34968,0.0,0.0,1.0
30919,0.0,0.0,1.0
123424,0.561,0.0,0.439
52871,0.079,0.0,0.921
39753,0.661,0.0,0.339
80476,0.0,0.0,1.0
91473,0.574,0.0,0.426
82853,0.0,0.0,1.0
32817,0.0,0.0,1.0
150748,0.23,0.0,0.77
162178,0.0,0.0,1.0
15567,0.0,0.0,1.0
80819,0.0,0.0,1.0
133273,0.365,0.0,0.635
91427,0.185,0.0,0.815
132085,0.307,0.0,0.693
22990,0.0,0.182,0.818
16880,0.767,0.0,0.233
92863,0.0,0.0,1.0
143916,0.699,0.0,0.301
96159,0.222,0.124,0.654
76448,0.316,0.0,0.684
156789,0.0,0.0,1.0
136301,0.0,0.0,1.0
151068,0.0,0.0,1.0
37678,0.473,0.092,0.435
23251,0.804,0.0,0.196
150588,0.364,0.066,0.57
141904,0.552,0.0,0.448
79111,0.0,0.744,0.256
151685,0.0,0.0,1.0
9677,0.0,0.0,1.0
57444,0.25,0.0,0.75
62518,0.0,0.0,1.0
125024,0.0,0.0,1.0
30495,0.483,0.0,0.517
76761,0.668,0.0,0.332
106557,0.0,0.0,1.0
115280,0.229,0.25,0.521
104177,0.0,0.0,1.0
15233,0.0,0.0,1.0
141116,0.75,0.0,0.25
116227,0.0,0.0,1.0
106985,0.0,0.0,1.0
160950,0.0,0.0,1.0
158309,0.0,0.0,1.0
168898,0.181,0.227,0.592
135815,0.574,0.0,0.426
39544,0.0,0.0,1.0
38619,0.0,0.0,1.0
14858,0.0,0.0,1.0
79441,0.574,0.0,0.426
35789,0.333,0.0,0.667
149119,0.0,0.0,1.0
133737,0.0,0.0,1.0
82071,0.0,0.0,1.0
173816,0.0,0.0,1.0
163385,0.0,0.0,1.0
32713,0.0,0.0,1.0
89832,0.31,0.0,0.69
105496,0.242,0.0,0.758
69231,0.667,0.0,0.333
87045,0.0,0.0,1.0
12377,0.0,0.0,1.0
152481,0.0,0.0,1.0
119856,0.379,0.0,0.621
90209,0.0,0.0,1.0
139556,0.0,0.0,1.0
17031,0.0,0.0,1.0
21833,0.278,0.0,0.722
21485,0.0,0.0,1.0
167284,0.39,0.0,0.61
24038,0.0,0.0,1.0
96419,0.0,0.0,1.0
99427,0.0,0.0,1.0
48526,0.0,0.0,1.0
59117,0.0,0.0,1.0
75608,0.589,0.0,0.411
78324,0.0,0.0,1.0
162597,0.288,0.261,0.45
115748,0.0,0.0,1.0
49904,0.0,0.0,1.0
133557,0.0,0.0,1.0
50547,0.762,0.0,0.238
64797,0.0,0.0,1.0
70778,0.0,0.0,1.0
166931,0.0,0.0,1.0
80737,0.0,0.0,1.0
63857,0.0,0.0,1.0
36875,0.27,0.0,0.73
17600,0.0,0.0,1.0
159626,0.0,0.0,1.0
29508,0.0,0.0,1.0
118119,0.0,0.0,1.0
126427,0.0,0.0,1.0
144820,0.0,0.0,1.0
39952,0.0,0.0,1.0
116698,0.0,0.0,1.0
97141,0.0,0.0,1.0
111121,0.0,0.0,1.0
44035,0.39,0.0,0.61
53685,0.0,0.0,1.0
139385,0.0,0.0,1.0
141883,0.0,0.0,1.0
15384,0.0,0.0,1.0
71794,0.302,0.0,0.698
173912,0.281,0.0,0.719
117048,0.0,0.0,1.0
62237,0.0,0.0,1.0
14595,0.0,0.0,1.0
58813,0.0,0.0,1.0
172999,0.381,0.0,0.619
87079,0.0,0.0,1.0
43959,0.0,0.0,1.0
29524,0.303,0.0,0.697
144620,0.0,0.0,1.0
137045,0.474,0.0,0.526
55900,0.0,0.0,1.0
16103,0.129,0.0,0.871
104345,0.0,0.0,1.0
50752,0.0,0.0,1.0
61715,0.0,0.0,1.0
101689,0.0,0.0,1.0
130249,0.0,0.592,0.408
125131,0.0,0.174,0.826
124151,0.0,0.0,1.0
108103,0.0,0.0,1.0
27112,0.0,0.0,1.0
137546,0.0,0.0,1.0
82136,0.0,0.0,1.0
101741,0.0,0.0,1.0
157955,0.0,0.0,1.0
54523,0.0,0.0,1.0
68371,0.0,0.0,1.0
67669,0.0,0.0,1.0
32389,0.0,0.0,1.0
51459,0.0,0.0,1.0
166478,0.0,0.0,1.0
16799,0.0,0.0,1.0
113964,0.0,0.0,1.0
138453,0.102,0.542,0.356
63303,0.0,0.0,1.0
166275,0.0,0.0,1.0
71546,0.0,0.0,1.0
63194,0.425,0.0,0.575
33391,0.13,0.0,0.87
57998,0.065,0.0,0.935
41479,0.0,0.0,1.0
20514,0.561,0.0,0.439
63561,0.0,0.0,1.0
135627,0.0,0.0,1.0
13387,0.0,0.0,1.0
141076,0.0,0.0,1.0
12506,0.0,0.0,1.0
32839,0.0,0.0,1.0
151983,0.0,0.0,1.0
65495,0.184,0.0,0.816
110740,0.0,0.0,1.0
57480,0.333,0.0,0.667
59769,0.0,0.0,1.0
54469,0.0,0.0,1.0
24584,0.0,0.0,1.0
60751,0.153,0.145,0.702
54518,0.0,0.2,0.8
56936,0.0,0.0,1.0
18332,0.335,0.0,0.665
31897,0.0,0.0,1.0
16395,0.0,0.0,1.0
115605,0.0,0.0,1.0
17959,0.0,0.0,1.0
148200,0.0,0.0,1.0
110369,0.365,0.0,0.635
70946,0.19,0.0,0.81
169698,0.0,0.0,1.0
68862,0.0,0.0,1.0
92760,0.0,0.0,1.0
57532,0.0,0.196,0.804
137164,0.0,0.0,1.0
34886,0.0,0.302,0.698
52104,0.0,0.0,1.0
74063,0.0,0.0,1.0
99811,0.375,0.0,0.625
101338,0.091,0.0,0.909
15604,0.259,0.0,0.741
21296,0.0,0.444,0.556
73652,0.0,0.0,1.0
105082,0.0,0.0,1.0
130981,0.0,0.0,1.0
13639,0.0,0.592,0.408
132965,0.481,0.0,0.519
53828,0.0,0.0,1.0
134283,0.0,0.0,1.0
105903,0.0,0.375,0.625
86770,0.0,0.444,0.556
131952,0.561,0.0,0.439
85011,0.571,0.0,0.429
103150,0.0,0.0,1.0
106970,0.0,0.0,1.0
50608,0.0,0.0,1.0
168265,0.0,0.0,1.0
78828,0.0,0.0,1.0
128088,0.0,0.0,1.0
118870,0.478,0.0,0.522
60531,0.0,0.0,1.0
68724,0.195,0.0,0.805
169399,0.0,0.0,1.0
85672,0.438,0.0,0.562
113270,0.0,0.0,1.0
25562,0.583,0.0,0.417
155059,0.0,0.0,1.0
100424,0.0,0.0,1.0
114850,0.0,0.0,1.0
26239,0.444,0.0,0.556
19301,0.0,0.0,1.0
24862,0.0,0.0,1.0
111346,0.205,0.0,0.795
51268,0.0,0.0,1.0
148277,0.215,0.169,0.615
136292,0.0,0.0,1.0
141021,0.0,0.0,1.0
56101,0.0,0.0,1.0
83168,0.0,0.0,1.0
55101,0.0,0.0,1.0
92164,0.106,0.0,0.894
102136,0.0,0.0,1.0
81775,0.0,0.0,1.0
54267,0.0,0.0,1.0
56694,0.0,0.085,0.915
100548,0.0,0.0,1.0
69405,0.0,0.0,1.0
117396,0.0,0.0,1.0
93577,0.5,0.0,0.5
122960,0.0,0.0,1.0
157423,0.0,0.0,1.0
66062,0.0,0.0,1.0
134963,0.0,0.314,0.686
72497,0.0,0.0,1.0
19056,0.0,0.0,1.0
96642,0.668,0.0,0.332
104905,0.0,0.0,1.0
66158,0.0,0.0,1.0
98413,0.0,0.0,1.0
86263,0.0,0.0,1.0
123444,0.0,0.0,1.0
59583,0.0,0.545,0.455
91489,0.311,0.185,0.504
133888,0.0,0.0,1.0
161651,0.146,0.201,0.654
154271,0.0,0.0,1.0
137425,0.0,0.0,1.0
28436,0.0,0.0,1.0
30861,0.0,0.39,0.61
59585,0.416,0.0,0.584
42004,0.0,0.0,1.0
77616,0.0,0.0,1.0
32655,0.0,0.0,1.0
26539,0.0,0.0,1.0
99377,0.0,0.0,1.0
47868,0.0,0.592,0.408
78139,0.0,0.0,1.0
41427,0.0,0.0,1.0
55665,0.0,0.0,1.0
145766,0.23,0.0,0.77
23766,0.0,0.0,1.0
91280,0.316,0.0,0.684
175133,0.0,0.0,1.0
136289,0.512,0.0,0.488
138600,0.0,0.0,1.0
140591,0.0,0.0,1.0
10488,0.0,0.0,1.0
58247,0.0,0.0,1.0
126549,0.0,0.454,0.546
125121,0.127,0.0,0.873
139736,0.0,0.0,1.0
116273,0.0,0.0,1.0
58508,0.0,0.0,1.0
53696,0.281,0.0,0.719
90437,0.0,0.0,1.0
60535,0.0,0.0,1.0
15022,0.0,0.0,1.0
136267,0.0,0.0,1.0
140126,0.252,0.0,0.748
150066,0.14,0.0,0.86
66859,0.0,0.266,0.734
162127,0.178,0.0,0.822
60356,0.0,0.0,1.0
148781,0.499,0.0,0.501
143694,0.0,0.094,0.906
18715,0.079,0.42,0.5
76270,0.0,0.0,1.0
67117,0.0,0.0,1.0
129703,0.0,0.0,1.0
74291,0.0,0.0,1.0
40267,0.0,0.0,1.0
147485,0.0,0.0,1.0
159283,0.0,0.0,1.0
137059,0.466,0.0,0.534
71061,0.351,0.0,0.649
132179,0.0,0.0,1.0
73184,0.223,0.0,0.777
113641,0.0,0.0,1.0
66022,0.0,0.0,1.0
10941,0.0,0.0,1.0
100141,0.153,0.05,0.797
44277,0.0,0.123,0.877
173906,0.0,0.0,1.0
146286,0.0,0.0,1.0
118718,0.0,0.0,1.0
110130,0.0,0.0,1.0
117999,0.0,0.0,1.0
97456,0.552,0.0,0.448
152702,0.744,0.0,0.256
101185,0.0,0.0,1.0
164378,0.416,0.0,0.584
58750,0.0,0.0,1.0
77482,0.787,0.0,0.213
153615,0.0,0.0,1.0
130932,0.0,0.0,1.0
126289,0.444,0.0,0.556
73732,0.0,0.0,1.0
114875,0.0,0.0,1.0
152337,0.0,0.0,1.0
15924,0.0,0.0,1.0
85958,0.565,0.0,0.435
97052,0.0,0.531,0.469
102838,0.0,0.0,1.0
156112,0.677,0.0,0.323
43442,0.372,0.105,0.523
19372,0.0,0.0,1.0
133156,0.0,0.0,1.0
163733,0.0,0.0,1.0
64103,0.0,0.0,1.0
108138,0.0,0.355,0.645
163564,0.668,0.0,0.332
140582,0.761,0.0,0.239
78935,0.0,0.0,1.0
82411,0.194,0.091,0.715
170206,0.0,0.315,0.685
149630,0.288,0.393,0.32
124508,0.317,0.222,0.461
10164,0.0,0.12,0.88
62245,0.412,0.588,0.0
162644,0.0,0.209,0.791
15181,0.0,0.0,1.0
66867,0.0,0.365,0.635
30830,0.0,0.0,1.0
70934,0.0,0.0,1.0
122306,0.0,0.0,1.0
25895,0.0,0.0,1.0
47456,0.0,0.0,1.0
63616,0.0,0.0,1.0
104391,0.295,0.25,0.455
65347,0.0,0.0,1.0
64170,0.218,0.327,0.455
125669,0.342,0.278,0.38
118033,0.547,0.138,0.314
39274,0.0,0.081,0.919
